ID	ReleaseID	Format
504080	504080	CD
504081	504081	Vinyl
504083	504083	CD
1062771	1059713	CD
1066144	1062706	CD
504088	504088	CD
524425	524425	CD
504096	504096	Vinyl
504097	504097	Vinyl
504101	504101	CD
504103	504103	Vinyl
504104	504104	CD
504105	504105	DVD
504106	504106	Vinyl
504107	504107	CD
1132413	1119753	CD
1076264	1071564	Digital Media
504115	504115	Vinyl
504116	504116	Vinyl
504117	504117	Vinyl
504118	504118	CD
504120	504120	CD
504123	504123	CD
504129	504129	CD
504131	504131	CD
504132	504132	CD
504134	504134	CD
504135	504135	CD
504136	504136	CD
1077975	1073023	CD
1097725	1090061	CD
1080462	1075250	12" Vinyl
1079366	1074254	CD
1251311	1223629	CD
1099386	1091321	CD
504142	504142	CD
504143	504143	CD
504146	504146	CD
504147	504147	CD
504062	504062	12" Vinyl
504040	504038	CD
504065	504065	12" Vinyl
504133	504133	12" Vinyl
504082	504082	12" Vinyl
504109	504109	12" Vinyl
504108	504108	12" Vinyl
504011	504011	CD
504113	504113	12" Vinyl
504064	504064	12" Vinyl
504112	504112	12" Vinyl
504000	504000	Cassette
963227	963227	Digital Media
1251619	1223872	CD
504102	504102	12" Vinyl
504148	504148	CD
504152	504152	CD
504155	504155	CD
504158	504158	CD
504163	504163	CD
504164	504164	CD
504167	504167	CD
504176	504176	CD
504169	504169	CD
504170	504170	CD
504171	504171	CD
504172	504172	CD
504178	504178	Vinyl
504179	504179	CD
504552	504552	CD
599882	599882	CD
504181	504181	CD
504182	504182	CD
504185	504185	CD
504190	504190	CD
504295	504295	CD
504192	504192	CD
504119	504119	CD
504194	504194	CD
504196	504196	CD
504197	504197	CD
504199	504199	CD
1202593	1180684	CD
1050769	1049318	CD
1132414	1119753	CD
504220	504220	CD
327404	327404	12" Vinyl
504229	504229	CD
504233	504233	CD
504235	504235	CD
504236	504236	CD
504237	504237	Digital Media
504238	504238	CD
504240	504240	Vinyl
504241	504241	CD
504242	504242	Vinyl
504243	504243	CD
598081	598081	CD
504245	504245	CD
